City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Constitucion,-35.3333,-72.4167,53.26,87,100,11.07,CL,2021-12-02 00:53:13
1,Banmankhi,25.8833,87.1833,64.36,62,8,2.24,IN,2021-12-02 00:53:13
2,Huarmey,-10.0681,-78.1522,66.52,86,100,6.64,PE,2021-12-02 00:53:14
3,Khatanga,71.9667,102.5,-38.29,100,92,1.28,RU,2021-12-02 00:53:15
4,Port Moresby,-9.4431,147.1797,85.42,74,40,5.75,PG,2021-12-02 00:53:15
5,Cape Town,-33.9258,18.4232,61.21,63,20,9.22,ZA,2021-12-02 00:53:16
6,Tuktoyaktuk,69.4541,-133.0374,-20.2,76,90,4.61,CA,2021-12-02 00:53:17
7,Puerto Ayora,-0.7393,-90.3518,69.57,86,52,9.75,EC,2021-12-02 00:53:18
8,Verkhnyaya Sysert,56.4372,60.75,35.4,94,100,6.73,RU,2021-12-02 00:53:18
9,Kapaa,22.0752,-159.319,80.92,71,40,5.01,US,2021-12-02 00:52:48
10,Avarua,-21.2078,-159.775,75.25,94,75,18.41,CK,2021-12-02 00:53:19
11,Longkou,37.6508,120.3286,40.96,52,2,19.22,CN,2021-12-02 00:53:20
12,Toledo,39.8333,-4.0,47.08,96,90,7.94,ES,2021-12-02 00:53:21
13,Dingle,10.9995,122.6711,78.13,92,100,11.27,PH,2021-12-02 00:53:21
14,Coquimbo,-29.9533,-71.3436,60.53,77,0,10.36,CL,2021-12-02 00:53:22
15,Ushuaia,-54.8,-68.3,47.86,61,40,24.16,AR,2021-12-02 00:51:31
16,Yellowknife,62.456,-114.3525,-1.68,84,90,10.36,CA,2021-12-02 00:53:23
17,Vredendal,-31.6683,18.5012,60.31,70,100,15.37,ZA,2021-12-02 00:53:24
18,Bilma,18.6853,12.9164,67.46,17,0,6.29,NE,2021-12-02 00:53:11
19,San Quintin,30.4833,-115.95,63.46,74,0,4.65,MX,2021-12-02 00:53:25
20,Torbay,47.6666,-52.7314,37.67,84,90,8.05,CA,2021-12-02 00:53:26
21,Basco,20.4487,121.9702,73.17,65,88,29.01,PH,2021-12-02 00:53:27
22,Vardo,70.3705,31.1107,34.34,60,100,31.59,NO,2021-12-02 00:53:28
23,Qaanaaq,77.484,-69.3632,4.42,74,18,6.58,GL,2021-12-02 00:53:28
24,High Level,58.5169,-117.136,3.31,85,90,2.3,CA,2021-12-02 00:53:29
25,Talakan,50.3167,130.3667,-0.89,81,100,2.98,RU,2021-12-02 00:53:30
26,Port Blair,11.6667,92.75,80.28,86,100,22.48,IN,2021-12-02 00:53:30
27,Weligama,5.9667,80.4167,74.91,88,4,3.74,LK,2021-12-02 00:48:56
28,Tasiilaq,65.6145,-37.6368,25.9,93,100,30.85,GL,2021-12-02 00:53:32
29,Vaini,-21.2,-175.2,86.16,79,20,11.5,TO,2021-12-02 00:53:32
30,Mar Del Plata,-38.0023,-57.5575,62.1,84,0,5.01,AR,2021-12-02 00:51:56
31,Bluff,-46.6,168.3333,70.81,71,100,10.16,NZ,2021-12-02 00:53:34
32,Ahuimanu,21.4447,-157.8378,83.79,68,75,12.66,US,2021-12-02 00:53:34
33,Albany,42.6001,-73.9662,34.66,81,100,1.5,US,2021-12-02 00:53:35
34,Jamestown,42.097,-79.2353,38.71,79,90,3.0,US,2021-12-02 00:49:31
35,Lebu,-37.6167,-73.65,54.68,90,100,13.06,CL,2021-12-02 00:53:36
36,Punta Arenas,-53.15,-70.9167,51.91,50,0,13.8,CL,2021-12-02 00:53:37
37,Sidi Ali,36.0998,0.4206,53.76,77,6,22.35,DZ,2021-12-02 00:53:38
38,Wenling,28.3669,121.36,46.9,51,0,6.15,CN,2021-12-02 00:53:39
39,Vrangel,42.7297,133.0839,28.11,57,5,16.22,RU,2021-12-02 00:53:40
40,Cabo San Lucas,22.8909,-109.9124,77.14,66,74,6.96,MX,2021-12-02 00:53:08
41,Hilo,19.7297,-155.09,77.25,88,42,3.0,US,2021-12-02 00:53:41
42,Caravelas,-17.7125,-39.2481,76.19,92,95,11.01,BR,2021-12-02 00:53:42
43,Bilibino,68.0546,166.4372,-31.77,100,81,2.73,RU,2021-12-02 00:53:43
44,Tiksi,71.6872,128.8694,-28.44,100,81,4.32,RU,2021-12-02 00:53:43
45,Jian,27.1172,114.9793,46.27,45,0,2.71,CN,2021-12-02 00:53:44
46,Butaritari,3.0707,172.7902,82.22,77,100,10.96,KI,2021-12-02 00:52:59
47,Mahebourg,-20.4081,57.7,77.29,78,40,3.44,MU,2021-12-02 00:53:45
48,Hobart,-42.8794,147.3294,89.02,55,20,1.01,AU,2021-12-02 00:52:50
49,Mabaruma,8.2,-59.7833,75.54,92,100,3.4,GY,2021-12-02 00:53:47
50,Rundu,-17.9333,19.7667,69.71,66,68,2.35,NA,2021-12-02 00:53:47
51,Atuona,-9.8,-139.0333,78.6,78,58,20.56,PF,2021-12-02 00:51:46
52,Bo Phloi,14.3236,99.5161,67.75,65,99,12.71,TH,2021-12-02 00:53:49
53,Saint-Philippe,-21.3585,55.7679,72.99,84,53,10.6,RE,2021-12-02 00:53:49
54,Narsaq,60.9167,-46.05,32.18,99,100,20.69,GL,2021-12-02 00:53:50
55,Opunake,-39.4556,173.8583,69.33,91,100,1.25,NZ,2021-12-02 00:53:51
56,Hami,42.8,93.45,24.55,63,0,4.43,CN,2021-12-02 00:53:51
57,Blagoyevo,63.3667,47.9167,17.82,97,97,4.56,RU,2021-12-02 00:53:52
58,Bollnas,61.3482,16.3946,18.95,79,89,3.74,SE,2021-12-02 00:53:53
59,Kodiak,57.79,-152.4072,15.31,73,90,21.85,US,2021-12-02 00:53:54
60,Lagoa,39.05,-27.9833,62.51,85,1,9.91,PT,2021-12-02 00:52:57
61,Longyearbyen,78.2186,15.6401,8.44,66,40,5.75,SJ,2021-12-02 00:53:55
62,Leningradskiy,69.3833,178.4167,-14.6,90,100,5.88,RU,2021-12-02 00:53:55
63,Baykit,61.67,96.37,2.97,98,100,1.97,RU,2021-12-02 00:53:57
64,Mataura,-46.1927,168.8643,70.48,36,100,1.79,NZ,2021-12-02 00:53:57
65,Pangnirtung,66.1451,-65.7125,2.93,97,100,7.16,CA,2021-12-02 00:53:58
66,Darhan,49.4867,105.9228,12.51,91,100,3.8,MN,2021-12-02 00:53:59
67,Loandjili,-4.7561,11.8578,75.31,94,40,2.3,CG,2021-12-02 00:53:59
68,Esperance,-33.8667,121.9,67.84,60,9,11.23,AU,2021-12-02 00:54:00
69,Sept-Iles,50.2001,-66.3821,27.12,93,90,4.61,CA,2021-12-02 00:50:32
70,Talnakh,69.4865,88.3972,-23.37,98,18,4.68,RU,2021-12-02 00:54:01
71,Bredasdorp,-34.5322,20.0403,59.72,71,100,10.49,ZA,2021-12-02 00:52:36
72,Severo-Kurilsk,50.6789,156.125,40.53,89,100,19.44,RU,2021-12-02 00:54:03
73,Verkhnyaya Inta,65.9811,60.3094,10.38,81,100,13.11,RU,2021-12-02 00:54:03
74,Cedar City,37.6775,-113.0619,45.18,51,6,2.21,US,2021-12-02 00:54:04
75,Artyom,40.4723,50.333,46.54,74,99,26.28,AZ,2021-12-02 00:54:06
76,Hurghada,27.2574,33.8129,66.24,59,0,19.57,EG,2021-12-02 00:54:07
77,Georgetown,5.4112,100.3354,78.89,88,20,1.99,MY,2021-12-02 00:52:39
78,Muromtsevo,56.3724,75.2418,24.73,79,100,10.63,RU,2021-12-02 00:54:08
79,Homburg,49.3167,7.3333,42.53,80,75,10.36,DE,2021-12-02 00:54:09
80,Port Alfred,-33.5906,26.891,67.33,92,93,0.96,ZA,2021-12-02 00:54:09
81,Itoman,26.1247,127.6694,64.78,63,75,5.75,JP,2021-12-02 00:54:11
82,Timra,62.487,17.3257,17.67,82,90,10.36,SE,2021-12-02 00:54:11
83,Te Anau,-45.4167,167.7167,71.49,49,100,1.36,NZ,2021-12-02 00:50:07
84,Nome,64.5011,-165.4064,-19.84,77,5,5.1,US,2021-12-02 00:54:13
85,Ust-Ishim,57.6935,71.1665,32.88,76,100,11.61,RU,2021-12-02 00:54:14
86,Hoyanger,61.2204,6.0749,34.99,88,29,7.0,NO,2021-12-02 00:54:15
87,Chuy,-33.6971,-53.4616,58.78,76,9,7.09,UY,2021-12-02 00:51:09
88,Thompson,55.7435,-97.8558,-0.24,78,90,8.05,CA,2021-12-02 00:50:21
89,Norman Wells,65.282,-126.8329,-21.96,63,90,4.61,CA,2021-12-02 00:54:16
90,Busselton,-33.65,115.3333,66.04,49,31,10.8,AU,2021-12-02 00:52:38
91,Hofn,64.2539,-15.2082,26.94,75,100,5.32,IS,2021-12-02 00:50:00
92,Seaforth,17.9358,-76.4573,81.45,88,100,7.2,JM,2021-12-02 00:54:19
93,Fort Nelson,58.8053,-122.7002,-6.21,77,75,3.44,CA,2021-12-02 00:50:21
94,Iquitos,-3.7481,-73.2472,77.04,88,75,2.3,PE,2021-12-02 00:54:20
95,Bhiwani,28.7833,76.1333,61.86,34,100,2.15,IN,2021-12-02 00:54:21
96,Deniliquin,-35.5333,144.9667,90.0,30,6,8.79,AU,2021-12-02 00:49:37
97,Port Elizabeth,-33.918,25.5701,66.09,82,0,23.02,ZA,2021-12-02 00:54:22
98,East London,-33.0153,27.9116,69.22,92,100,3.49,ZA,2021-12-02 00:54:23
99,Oksovskiy,62.6062,39.8984,16.59,96,99,4.25,RU,2021-12-02 00:54:24
100,Calvinia,-31.4707,19.776,54.0,70,100,5.14,ZA,2021-12-02 00:54:25
101,Fairfield,41.2668,-73.3162,41.74,73,100,1.34,US,2021-12-02 00:54:26
102,Viking,53.1001,-111.7684,37.26,81,100,11.25,CA,2021-12-02 00:54:26
103,Yulara,-25.2406,130.9889,94.84,15,0,10.36,AU,2021-12-02 00:54:27
104,Inhambane,-23.865,35.3833,72.7,86,62,10.85,MZ,2021-12-02 00:54:28
105,Lata,40.1629,-8.3327,52.21,91,100,6.87,PT,2021-12-02 00:54:28
106,Victor Harbor,-35.5667,138.6167,81.19,70,59,1.99,AU,2021-12-02 00:54:29
107,Tuatapere,-46.1333,167.6833,70.83,53,100,6.35,NZ,2021-12-02 00:54:30
108,Yambio,4.5721,28.3955,69.08,89,81,2.82,SS,2021-12-02 00:54:17
109,Belmonte,-15.8631,-38.8828,79.3,89,100,10.11,BR,2021-12-02 00:54:31
110,Constanza,47.6603,9.1758,45.03,90,100,3.0,DE,2021-12-02 00:54:31
111,Faanui,-16.4833,-151.75,76.78,83,100,12.77,PF,2021-12-02 00:54:32
112,Barrow,71.2906,-156.7887,-21.06,98,23,4.7,US,2021-12-02 00:54:33
113,Gavle,60.6745,17.1417,22.21,61,100,2.48,SE,2021-12-02 00:54:34
114,Rikitea,-23.1203,-134.9692,76.51,73,0,17.22,PF,2021-12-02 00:52:38
115,Aliwal North,-30.6937,26.7114,69.15,17,100,5.28,ZA,2021-12-02 00:54:35
116,Bathsheba,13.2167,-59.5167,81.21,78,40,19.57,BB,2021-12-02 00:54:36
117,Mogadishu,2.0371,45.3438,80.73,74,80,12.21,SO,2021-12-02 00:54:36
